id,dispatch_mode,load,duration,avg_response_time,max_response_time,std_response_time,failed_incidents_over_30s,total_incidents
run_01_heuristic_low_short,heuristic,low,short,15.831520714691118,29.837246015971687,6.492617912094862,0,12
run_02_rl_low_short,rl,low,short,19.08152071469112,42.412209582112396,11.336241296026206,3,12
run_03_heuristic_med_short,heuristic,med,short,15.572593957277302,33.58629764478201,7.219449952305122,2,25
run_04_rl_med_short,rl,med,short,21.132593957277304,41.74175248424861,8.90498565638157,5,25
run_05_heuristic_high_short,heuristic,high,short,16.586035894671173,33.53760417278028,6.632593475315815,2,33
run_06_rl_high_short,rl,high,short,20.707248015883295,43.53760417278028,7.429291753327869,3,33
run_07_heuristic_low_shift,heuristic,low,shift,18.00506080149567,35.65811527106416,8.123153737809277,8,62
run_08_rl_low_shift,rl,low,shift,17.666351124076314,39.388301844577654,6.958971019048622,5,62
run_09_heuristic_med_shift,heuristic,med,shift,15.860481747756582,36.54481876296086,6.90830146327245,5,154
run_10_rl_med_shift,rl,med,shift,18.73710512437996,39.79458689657622,6.628959909801287,11,154
run_11_heuristic_high_shift,heuristic,high,shift,15.855870972855008,35.38254119879639,7.241529977884049,19,243
run_12_rl_high_shift,rl,high,shift,18.950521178616327,39.986931443574576,7.203874509062852,19,243
